ID,title,artist,top genre,year
316,Here,Alessia Cara,canadian contemporary r&b,2015
317,I Lived,OneRepublic,dance pop,2015
318,Fireball (feat. John Ryan),Pitbull,dance pop,2015
319,Easy Love,Sigala,dance pop,2015
320,The Feeling,Justin Bieber,canadian pop,2015
321,I Really Like You,Carly Rae Jepsen,canadian pop,2015
322,BO$$,Fifth Harmony,dance pop,2015
323,Sugar,Maroon 5,pop,2015
324,Focus,Ariana Grande,dance pop,2015
325,All About That Bass,Meghan Trainor,dance pop,2015
326,On My Mind,Ellie Goulding,dance pop,2015
327,Love Me Like You,Little Mix,dance pop,2015
328,Broken Arrows,Avicii,big room,2015
329,Booty,Jennifer Lopez,dance pop,2015
330,What Do You Mean? - Acoustic,Justin Bieber,canadian pop,2015
331,Mark My Words,Justin Bieber,canadian pop,2015
332,Lay It All on Me,Rudimental,dance pop,2015
333,American Oxygen,Rihanna,barbadian pop,2015
334,Bang Bang,Jessie J,australian pop,2015
335,Reality - Radio Edit,Lost Frequencies,belgian edm,2015
336,Alive,Sia,australian dance,2015
337,Sugar (feat. Francesco Yates),Robin Schulz,dance pop,2015
338,Been You,Justin Bieber,canadian pop,2015
339,Prayer in C - Robin Schulz Radio Edit,Lilly Wood and The Prick,french indie pop,2015
340,See You Again (feat. Charlie Puth),Wiz Khalifa,hip hop,2015
341,Heroes (we could be),Alesso,big room,2015
342,"Feel The Light - From The ""Home"" Soundtrack",Jennifer Lopez,dance pop,2015
343,Perfect,One Direction,boy band,2015
344,Ghosttown,Madonna,dance pop,2015
345,Bang My Head (feat. Sia & Fetty Wap),David Guetta,dance pop,2015
346,Bloodstream,Ed Sheeran,pop,2015
347,Living For Love,Madonna,dance pop,2015
348,Baby Don't Lie,Gwen Stefani,dance pop,2015
349,Don't Be so Hard on Yourself,Jess Glynne,dance pop,2015
350,Steal My Girl,One Direction,boy band,2015
351,"Celebrate (From the Original Motion Picture ""Penguins of Madagascar"")",Pitbull,dance pop,2015
352,We Are Here,Alicia Keys,hip pop,2015
353,St Jude,Florence + The Machine,art pop,2015
354,Yesterday (feat. Bebe Rexha),David Guetta,dance pop,2015
355,Time of Our Lives,Pitbull,dance pop,2015
356,Sparks,Hilary Duff,dance pop,2015
357,Mr. Put It Down,Ricky Martin,dance pop,2015
358,Legendary Lovers,Katy Perry,dance pop,2015
359,Spark The Fire,Gwen Stefani,dance pop,2015
360,Run Run Run,Kelly Clarkson,dance pop,2015
361,Let Me Be Your Lover,Enrique Iglesias,dance pop,2015
