ID,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop
346,89,59,48,-6,6,27,309,20,5,52
347,123,79,67,-5,25,39,219,4,9,52
348,100,55,69,-5,10,26,203,1,3,52
349,120,82,57,-3,16,66,211,6,3,52
350,77,76,47,-6,14,52,227,0,4,51
351,127,85,68,-3,6,93,193,1,6,50
352,93,67,64,-6,8,8,285,43,4,49
353,117,43,26,-11,11,9,225,75,3,47
354,128,78,57,-4,33,28,243,2,3,46
355,124,80,72,-6,69,72,229,9,6,45
356,122,88,85,-5,10,79,186,4,6,44
357,128,78,80,-6,4,83,196,1,18,42
358,126,84,62,-5,8,39,224,2,8,41
359,120,80,88,-4,20,54,202,8,6,39
360,112,37,28,-7,11,8,273,45,4,36
361,112,90,72,-4,6,88,238,1,13,34
362,109,53,90,-5,8,65,255,0,5,18
363,202,39,48,-8,26,27,193,2,9,0
364,113,56,58,-7,14,14,242,7,5,84
365,100,38,61,-10,28,52,234,84,44,83
366,119,75,77,-5,4,90,219,15,5,81
367,160,87,53,-5,14,42,208,16,17,81
368,134,52,50,-6,45,17,196,11,4,81
369,108,73,62,-6,14,37,244,2,11,80
370,124,93,63,-3,15,47,222,20,3,80
371,130,42,67,-8,11,15,205,49,4,80
372,111,31,67,-8,8,30,192,11,24,80
373,120,47,77,-6,39,34,237,29,5,80
374,113,83,67,-6,19,70,236,1,7,79
375,105,59,80,-6,6,59,214,10,4,79
376,97,74,57,-6,11,45,230,3,13,79
377,108,53,63,-7,18,42,225,40,4,79
378,92,53,73,-6,9,56,219,8,9,78
379,150,75,75,-7,5,76,207,2,7,78
380,112,67,76,-7,16,38,251,2,10,78
381,102,71,66,-7,8,69,198,4,11,78
382,134,60,66,-5,36,29,236,5,4,78
383,100,62,73,-4,11,51,182,38,6,78
384,126,75,77,-4,11,80,246,2,9,77
385,120,80,61,-8,26,52,218,1,5,76
386,130,75,59,-6,9,34,206,0,7,75
387,118,65,79,-8,10,39,263,5,10,74
388,100,80,71,-7,31,34,227,4,6,74
389,93,80,61,-5,16,50,185,7,4,73
390,124,69,93,-6,48,84,181,10,10,73
391,108,88,75,-4,23,75,166,4,7,73
392,120,68,76,-6,7,82,218,5,23,72
393,124,62,65,-5,14,40,234,25,8,72
394,105,79,55,-6,47,82,232,12,13,72
395,90,59,66,-9,12,30,194,10,3,72
396,105,67,70,-6,8,25,236,1,3,72
397,95,80,59,-5,8,43,208,13,6,72
398,111,50,81,-7,34,47,201,1,12,71
399,142,28,59,-5,15,34,272,88,3,71
400,163,70,63,-6,11,50,215,1,15,71
401,92,80,56,-4,74,65,214,1,22,70
402,120,88,76,-5,10,40,218,1,4,70
403,102,69,67,-7,8,20,199,31,11,69
404,139,85,32,-6,48,8,213,1,8,69
405,120,82,38,-4,8,33,199,8,10,68
406,125,86,61,-5,36,66,182,0,4,67
407,125,70,59,-4,9,43,204,10,5,66
408,92,84,55,-7,34,34,236,0,4,66
409,101,64,55,-6,11,44,203,5,5,66
410,100,69,55,-6,27,35,170,9,4,66
411,87,74,63,-5,28,26,194,0,4,65
412,175,34,47,-6,10,27,216,60,4,65
413,113,83,56,-6,26,23,192,2,11,65
414,90,80,59,-5,8,73,225,6,22,64
415,98,89,61,-5,9,32,192,5,5,64
416,119,72,56,-6,5,25,251,1,5,63
417,110,88,60,-4,16,32,228,2,12,63
418,164,52,69,-8,17,56,223,4,10,61
419,120,82,93,-3,6,56,193,2,20,58
420,126,78,71,-5,30,64,203,30,6,58
421,144,59,38,-6,9,27,291,35,5,58
422,114,77,68,-5,16,72,224,11,10,57
423,94,57,37,-6,13,12,403,72,3,57
424,106,64,58,-8,15,18,238,2,3,57
425,82,54,62,-6,13,20,187,68,8,54
426,123,70,70,-7,22,58,231,16,10,53
427,122,78,60,-5,19,53,208,16,5,52
428,126,79,57,-3,10,49,225,40,4,51
429,118,71,74,-5,13,80,217,4,5,50
430,108,78,73,-5,9,64,193,0,13,50
431,130,95,63,-5,10,73,197,0,4,48
432,110,4,52,-15,9,26,310,99,4,47
433,90,75,83,-4,20,32,263,22,12,47
434,114,87,65,-5,37,44,234,1,6,46
435,112,65,37,-7,9,16,200,3,11,44
436,91,69,75,-5,13,52,192,26,4,41
437,86,17,39,-13,11,14,214,91,3,36
438,124,76,57,-6,4,40,204,0,6,36
439,121,70,75,-6,11,45,203,1,7,34
440,123,71,83,-7,31,83,250,5,18,31
441,186,81,70,-3,37,69,225,9,7,29
442,98,47,80,-10,7,69,228,25,4,18
443,0,0,0,-60,0,0,227,0,0,0
444,96,65,83,-3,9,93,234,58,8,87
445,95,52,75,-6,11,66,245,41,3,86
446,186,59,68,-7,14,49,230,14,28,85
447,83,82,44,-4,11,75,188,11,34,84
448,134,56,85,-5,9,86,207,1,4,83
449,100,72,65,-5,14,16,206,9,3,82
450,93,82,77,-6,7,59,269,43,12,81
451,148,66,56,-5,11,36,209,13,8,81
452,159,74,65,-6,24,61,226,5,23,80
453,102,62,69,-5,12,54,210,25,6,80
454,100,53,64,-7,9,52,221,12,7,79
455,140,78,57,-6,8,34,232,8,6,78
456,103,65,61,-7,17,51,248,3,4,78
457,102,76,72,-4,18,74,251,41,5,78
458,118,45,74,-8,33,9,245,6,6,78
459,120,91,82,-3,16,54,219,9,4,78
460,81,67,61,-4,17,81,289,6,4,77
461,73,39,58,-7,11,32,230,49,3,77
462,178,82,65,-4,10,82,229,23,17,76
463,192,73,67,-6,6,73,210,1,27,76
464,106,64,61,-8,12,13,222,12,6,76
465,100,64,65,-7,9,25,222,2,3,76
466,85,62,33,-6,16,60,216,33,38,75
467,104,79,74,-4,5,57,184,10,4,75
468,104,80,74,-3,25,51,231,50,5,75
469,120,71,84,-5,10,57,243,2,4,73
470,190,80,45,-5,20,47,238,8,17,72
471,100,72,69,-6,5,41,234,14,11,72
472,99,37,53,-11,11,23,273,49,3,72
473,94,91,53,-3,10,62,189,15,9,71
474,142,28,59,-5,15,34,272,88,3,71
475,90,59,63,-7,10,68,194,20,11,71
476,100,51,70,-5,9,52,211,8,3,71
477,181,54,31,-10,7,16,176,16,35,71
478,125,72,93,-6,35,46,224,7,11,70
479,105,87,40,-4,36,47,201,17,31,70
480,124,88,69,-4,15,49,192,4,6,70
481,125,87,71,-3,12,72,203,3,4,70
482,107,80,82,-4,15,63,226,3,8,69
483,106,50,87,-5,8,55,202,20,5,69
484,115,91,71,-3,30,65,208,1,6,69
485,122,81,65,-6,13,58,189,12,6,69
486,106,79,80,-6,22,52,228,13,6,68
487,135,57,76,-9,20,14,261,2,13,67
488,108,93,72,-4,5,54,205,3,5,66
489,120,74,77,-6,9,86,202,5,4,66
490,86,42,74,-7,6,85,188,1,5,64
491,122,87,55,-5,14,33,249,0,6,62
492,102,69,65,-5,4,86,236,0,4,62
493,122,64,73,-7,8,53,158,2,4,59
494,124,53,74,-6,35,13,189,0,4,59
495,102,75,64,-4,49,53,203,4,11,59
496,100,82,70,-5,45,67,218,49,22,59
497,167,50,37,-9,20,21,180,6,12,59
498,100,76,69,-4,14,59,223,8,4,57
499,110,90,74,-2,8,65,184,7,5,55
500,100,67,51,-9,36,27,264,58,6,54
501,115,83,70,-6,36,63,245,28,27,54
502,105,59,77,-10,11,33,225,10,5,54
503,113,53,68,-6,4,84,202,14,28,53
504,158,81,57,-5,4,78,223,2,5,51
505,95,84,60,-7,11,47,240,2,7,49
506,87,46,27,-4,14,21,286,85,3,44
507,120,77,76,-6,8,81,202,8,5,43
508,148,88,43,-5,21,25,282,0,4,41
509,124,86,79,-3,8,59,215,4,11,86
510,105,52,77,-4,13,39,217,18,3,85
511,136,73,82,-4,37,65,253,10,13,85
512,116,70,76,-6,15,61,209,0,7,84
513,122,81,87,-4,8,97,199,38,6,84
514,122,71,70,-6,29,35,206,4,6,84
515,97,54,84,-6,8,51,218,4,9,84
516,140,71,62,-7,13,49,211,6,7,83
517,125,80,72,-5,20,31,198,12,4,83
